"Source:","/home/joseph/projects/weather-station/radio/radio.sch"
"Date:","Wed 24 Nov 2021 07:50:49 PM EST"
"Tool:","Eeschema 5.1.12-84ad8e8a86~92~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","165"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","J5","out","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"","","J6","+5VA","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","J7","+3VA","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","J8","Antenna","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"","","J9","FREQ CTRL","Connector:Conn_01x06_Male","","~","","","","","","","","",""
"","","J10","CLK_125MHz","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","J11","50 Ohm IF IN","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","JP1","Vbias","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","JP2","Vparamp","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","JP3","paramp en","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP4","DDS Clock EN","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","JP5","Shift LO","Jumper:SolderJumper_3_Bridged12","","~","","","","","","","","",""
"","","JP6","A3","Jumper:SolderJumper_2_Bridged","","~","","","","","","","","",""
"","","JP7","choke bp","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP8","5V LO","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP9","3V LO","Jumper:SolderJumper_2_Bridged","","~","","","","","","","","",""
"","","JP10","choke bp","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP11","Jumper_NC_Dual","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","L1","1.2u","Device:L","","~","","","","","","","","",""
"","","L2","1.2u","Device:L","","~","","","","","","","","",""
"","","L3","19n","Device:L","","~","","","","","","","","",""
"","","L4","2.4n","Device:L","","~","","","","","","","","",""
"","","L5","12n","Device:L","","~","","","","","","","","",""
"","","L6","0.1u","Device:L","","0630CS","","","","","","","","",""
"","","L7","5u","Device:L","","0630CS","","","","","","","","",""
"","","L8","56n","Device:L","","~","","","","","","","","",""
"","","L9","56n","Device:L","","~","","","","","","","","",""
"","","L10","1.2u","Device:L","","~","","","","","","","","",""
"","","L11","1.2u","Device:L","","~","","","","","","","","",""
"","","L12","2.4n","Device:L","","~","","","","","","","","",""
"","","L13","2.4n","Device:L","","~","","","","","","","","",""
"","","L14","19n","Device:L","","~","","","","","","","","",""
"","","L15","150nH","Device:L","","0630CS","","","","","","","","",""
"","","L16","12n","Device:L","","~","","","","","","","","",""
"","","L17","120n","Device:L","","~","","","","","","","","",""
"","","L18","130n","Device:L","","~","","","","","","","","",""
"","","L19","120n","Device:L","","~","","","","","","","","",""
"","","L20","470n","Device:L","","~","","","","","","","","",""
"","","L21","390n","Device:L","","~","","","","","","","","",""
"","","L22","390n","Device:L","","~","","","","","","","","",""
"","","L23","10u","Device:L","","~","","","","","","","","",""
"","","L24","10u","Device:L","","~","","","","","","","","",""
"","","L25","33n","Device:L","","~","","","","","","","","",""
"","","L26","123n","Device:L","","~","","","","","","","","",""
"","","L27","90n","Device:L","","~","","","","","","","","",""
"","","Q1","MMBTH10","Device:Q_NPN_BEC","","~","","","","","","","","",""
"","","Q2","2N2222","Device:Q_NPN_BEC","","~","","","","","","","","",""
"","","Q3","2N2222","Device:Q_NPN_BEC","","~","","","","","","","","",""
"","","R1","1k","Device:R","","~","","","","","","","","",""
"","","R2","1k","Device:R","","~","","","","","","","","",""
"","","R3","68k","Device:R","","~","","","","","","","","",""
"","","R4","68k","Device:R","","~","","","","","","","","",""
"","","R5","51","Device:R","","~","","","","","","","","",""
"","","R6","68k","Device:R","","~","","","","","","","","",""
"","","R7","47k","Device:R","","~","","","","","","","","",""
"","","R8","R","Device:R","","~","","","","","","","","",""
"","","R9","R","Device:R","","~","","","","","","","","",""
"","","R10","470","Device:R","","~","","","","","","","","",""
"","","R11","510","Device:R","","~","","","","","","","","",""
"","","R12","68","Device:R","","~","","","","","","","","",""
"","","R13","680","Device:R","","~","","","","","","","","",""
"","","R14","100k","Device:R","","~","","","","","","","","",""
"","","R15","51","Device:R","","~","","","","","","","","",""
"","","R16","39k","Device:R","","~","","","","","","","","",""
"","","R17","0","Device:R","","~","","","","","","","","",""
"","","R18","50","Device:R","","~","","","","","","","","",""
"","","R19","25","Device:R","","~","","","","","","","","",""
"","","R20","1k","Device:R","","~","","","","","","","","",""
"","","R21","30","Device:R","","~","","","","","","","","",""
"","","R22","75","Device:R","","~","","","","","","","","",""
"","","R23","1k","Device:R","","~","","","","","","","","",""
"","","R24","150","Device:R","","~","","","","","","","","",""
"","","R25","1.2k","Device:R","","~","","","","","","","","",""
"","","R26","2k","Device:R","","~","","","","","","","","",""
"","","R27","1.2k","Device:R","","~","","","","","","","","",""
